title	abstract	publication_year	authors	source	publication_month	publication_day
Fillon 11	"Mettre fin au système des emplois aidés pour les jeunes. Supprimer les emplois d’avenir et les contrats de génération, qui coûtent 1,2 Md€ par an au budget de l’Etat, et réorienter intégralement ces sommes vers l’alternance. Cette suppression ne s’appliquera pas aux contrats aidés bénéficiant aux jeunes travailleurs handicapés. De manière générale, les moyens des contrats aidés du secteur non marchand consacrés aux jeunes doivent permettre de renforcer l’alternance et d’autres dispositifs efficaces pour apporter une réponse aux "" décrocheurs "" de notre système éducatif (écoles de la deuxième chance, EPIDE, dispositifs d’accompagnement renforcé…). "	2017	François Fillon	Les Républicains	3	14
Fillon 12	"Encourager à entreprendre. Sensibiliser les élèves à l’entrepreneuriat du secondaire jusqu’au supérieur. Permettre à tout étudiant d’entreprendre sur son campus, notamment par le statut "" Etudiant-entrepreneur "" et le développement des Junior Entreprises. Former enfin les jeunes peu ou pas qualifiés à l’entrepreneuriat en fixant des objectifs aux ""Missions Locales"". Alléger le poids des normes et des contraintes pesant sur les PME en les alignant sur les normes européennes, sans ajouter d’obligations nouvelles. Créer un pacte de confiance entre l’Etat et les PME pour réduire les incertitudes qui pèsent sur les entrepreneurs, en passant du "" contrôle sanction "" au ""contrôle conseil"". "	2017	François Fillon	Les Républicains	3	14
Fillon 13	Attirer financements et talents vers les PME. Réduire l’impôt des particuliers de 30% du montant investi dans une PME, jusqu’à 1 M€ pour un couple. Orienter 50 Mds€, soit environ 3% des encours des contrats d’assurance-vie, vers le capital des PME. Multiplier les fonds privés d’amorçage, labélisés par Bpifrance et abondés par l’Etat. Faciliter l’ouverture du capital des PME à leurs salariés sans risque de requalification en salaire et développer l’intéressement dans les PME. Surseoir aux droits de succession lors de la transmission familiale des PME, jusqu’à la cession effective de l’entreprise.	2017	François Fillon	Les Républicains	3	14
Fillon 14	"Libérer l’innovation et réindustrialiser le pays. Réécrire le principe de précaution pour favoriser l’innovation responsable. Inciter au regroupement local des acteurs de la recherche, de l’enseignement, de l’incubation, de l’accompagnement et du financement de start-ups dans des ""clusters"" pour développer les synergies. Privatiser les unités de valorisation des centres de recherche publics afin de les rendre plus autonomes dans leur recrutement et leur gestion. Développer enfin l’innovation collaborative et ouverte entre PMI et grands groupes. Déployer le programme de sensibilisation des PMI au numérique, "" Alliance pour l’Industrie du Futur "",  pour moderniser l’outil de production des industries françaises. Développer l’apprentissage sur les métiers industriels du futur. Développer des filières industrielles d’excellence dans les écoles d’ingénieurs. Faire de Bpifrance l’outil stratégique national d’investissement industriel en lui donnant les moyens d’un ""fonds souverain"". Bpifrance devra se focaliser sur les secteurs que ne couvrent pas les fonds d’investissements privés et abondera les fonds dédiés au développement des PMI. Sanctuariser le Crédit d’Impôt Recherche (CIR) en développant la délivrance de rescrits fiscaux en amont et le fusionner avec le Crédit d’Impôt Innovation (CII)."	2017	François Fillon	Les Républicains	3	14
Fillon 15	Conquérir les marchés internationaux  Rationaliser les dispositifs d’accompagnement des entrepreneurs à l’export, tant dans la préparation en amont que dans la prospection à l’étranger.	2017	François Fillon	Les Républicains	3	14
Fillon 16	Inciter à l’affectation de 10% de la part décentralisée du livret A aux prêts aux PME à l’export. Accorder aux PME une avance remboursable par Bpifrance à hauteur de 100% des dépenses de prospection à l’export. Faire de Bpifrance l’opérateur national de financement des clients étrangers, lorsqu’ils passent de grands contrats aux industriels français. Opposer aux lois extraterritoriales américaines la juridiction française et une réponse européenne commune. 	2017	François Fillon	Les Républicains	3	14
Fillon 17	Aider les indépendants à créer de l’activité en France. Créer un statut de prestataire indépendant pour les auto-entrepreneurs qui le souhaiteront. Il les protègera en minimisant ainsi les possibilités de requalification. Ce statut sera valable pour une durée de 3 ans. Relever les niveaux de chiffres d’affaires plafonds de l’auto-entreprise à 50 000 euros pour les services et à 120 000 euros pour l’achat-revente. La franchise de TVA sera étendue jusqu’à ces plafonds. Définir, en concertation avec tous les acteurs, les exigences liées aux niveaux de qualifications nécessaires pour exercer certaines activités et certains métiers, sans que cela ne mette en danger le prestataire ou le consommateur. Revenir sur les dispositions les plus contraignantes de la loi Pinel, qui complexifient les conditions d’exercice des auto-entrepreneurs. Permettre à tous les jeunes de devenir auto-entrepreneurs (artisans et commerçants) dès 16 ans, sans être nécessairement émancipés. Améliorer le statut de chercheur-entrepreneur. Faciliter les passerelles entre le secteur public et le secteur privé, notamment pour les auto-entrepreneurs fonctionnaires en revenant sur la loi Lebranchu qui a considérablement restreint les possibilités. Rendre plus fluides les parcours entre le salariat et l’activité indépendante : - simplifier la situation fiscale et sociale des pluri-statuts, - autoriser le travailleur indépendant à mettre en sommeil sa structure juridique quand il devient salarié sans pour autant avoir à payer des charges sur cette structure.	2017	François Fillon	Les Républicains	3	14
Fillon 18	Assurer l’équité entre les auto-entrepreneurs et les artisans-commerçants. Instaurer une franchise de TVA jusqu’aux plafonds de 50 000 euros de chiffre d’affaires pour les services et de 120 000 euros pour l’achat-revente pour les artisans et les commerçants. Simplifier le régime comptable des artisans et commerçants. Augmenter le plafond de requalification des entreprises artisanales en établissements industriels à 50 salariés.	2017	François Fillon	Les Républicains	3	14
Fillon 19	Garantir des régimes sociaux cohérents, efficaces, financés et préservant de la précarité. Réformer radicalement le RSI, transformé en une Caisse de Protection des Indépendants (CPI) : - Confier à cette caisse le calcul des contributions, la collecte et la gestion. - Mettre en place un calcul et un paiement en temps réel des cotisations liées au salaire, lorsque c’est applicable. - Permettre aux indépendants qui ont de faibles revenus et versent la cotisation retraite minimum de valider quatre trimestres de retraite au lieu de trois aujourd’hui.	2017	François Fillon	Les Républicains	3	14
Fillon 20	Mettre en place un système d’assurance pour les travailleurs indépendants en cas de perte d’activité, sur une base volontaire. Ce fonds sera adossé à la Caisse de Protection des Indépendants (CPI). Encourager la prévoyance par le système de retraite complémentaire.	2017	François Fillon	Les Républicains	3	14
Fillon 21	"Faire du Très Haut Débit la priorité d’infrastructure du quinquennat.  Accélérer le déploiement du très haut débit fixe et mobile d’ici à 2022 en refinançant  le Plan France Très Haut Débit, en le réorganisant et en initiant un ""Plan 5G"". "	2017	François Fillon	Les Républicains	3	14
Fillon 22	"Accélérer la transformation numérique de l’Etat au service des citoyens et des entreprises. Dématérialiser l’intégralité des procédures administratives d’ici à la fin du quinquennat pour engager la France dans l’e-démocratie. Identification numérique unique des usagers auprès de toutes les administrations ; développement des consultations sur internet; co-construction des procédures avec les usagers etc. Simplifier et améliorer les services de l’Etat auprès des usagers grâce à la dématérialisation. Mettre en place ""l’open data"" dans les services publics en garantissant la protection des données personnelles des citoyens et les intérêts économiques de la France. L’Etat et les collectivités territoriales ont une mission de collecte et de traitement de l’information. ""L’open data"" et les API (interfaces de programmation) seront généralisées dans les services numériques de l’administration. A l’heure de l’essor de l’intelligence artificielle (IA), la donnée publique est vitale pour les start-ups françaises. Faire de la télémédecine et de la e-santé un levier pour la modernisation et l’efficacité de notre système de soins : généraliser la télémédecine et les téléconsultations, grâce à un remboursement incitatif de ces actes, qui soit adapté à la prise en charge pluridisciplinaire ; permettre le déploiement rapide des objets connectés de santé, notamment pour un meilleur suivi de l’observance des soins à distance ; déployer l’analyse massive des données de santé en utilisant les nouvelles technologies de big data et d’intelligence artificielle ; rendre plus efficient le parcours de soins du patient grâce au développement de lateformes de services numériques."	2017	François Fillon	Les Républicains	3	14
Fillon 23	Construire une véritable souveraineté numérique européenne . Porter, avec l’Allemagne, l’ambition de plateformes numériques industrielles et sectorielles européennes (voitures autonomes, bâtiments connectés…). Engager un programme d’appels à projets européens pour faire de l’Europe le pôle d’innovation dans le domaine de l’intelligence artificielle et de la blockchain. Assurer la cybersécurité des citoyens, des entreprises et des institutions. Pour cela, modifier le cadre réglementaire européen, d’une part en exigeant que toute activité sensible en Europe soit supportée par des solutions (hardware et software) maîtrisées ; d’autre part en acceptant des dérogations aux règles de la commande publique lorsque notre autonomie stratégique et notre cybersécurité sont en jeu. Imposer et défendre nos valeurs et nos lois en matière de libertés publiques et de gestion des données personnelles. En particulier, renégocier la réglementation européenne sur les “Données Personnelles”. 	2017	François Fillon	Les Républicains	3	14
Fillon 24	"Assurer un accès universel à l’enseignement et à la formation au numérique .  Généraliser l’enseignement et la formation au numérique à tous les niveaux. Recruter des enseignants en informatique. Transformer le cours de technologie du collège (1h par semaine) en cours de ""culture numérique"". Encourager le développement de filières universitaires d’excellence (Cybersécurité, IA, …); introduire un module “numérique” dans toutes les formations supérieures, accélérer le développement de la formation professionnelle au numérique."	2017	François Fillon	Les Républicains	3	14
Fillon 25	"Développer un environnement propice aux entreprises et aux start-ups numériques . Renforcer la compétitivité de nos PME/PMI grâce au numérique : passer en cinq ans de 10% à 100% des PME/PMI accompagnées ; un grand plan de rattrapage et d’accompagnement sera mis en oeuvre à l’issue des états généraux de l’industrie et de l’innovation ; une partie des investissements d’avenir sera réallouée au programme ""investissements du futur"". Négocier un agenda européen de l’harmonisation fiscale pour limiter les effets de l’optimisation fiscale des géants du numérique. Mettre en place des mesures fiscales encourageant la prise de risque et le recrutement   des talents comme la refonte du ""compte entrepreneur investisseur"" ainsi que les mécanismes des actions gratuites et des stock-options. Faire de la France une nation de pointe en matière de financement de l’innovation. Renforcer fortement les mécanismes d’orientation de l’épargne vers le financement des PME innovantes et des fonds de capital-risque. Créer et développer un écosystème franco-allemand puis européen du financement de l’innovation (fonds  souverain, banque publique d’investissement, ""NASDAQ"" Franco-Allemand, régulateurs européens...). Créer des fonds sectoriels et technologiques dans des domaines de pointe (cybersécurité, blockchain, Agritech, e-santé…). "	2017	François Fillon	Les Républicains	3	14
Fillon 26	"Redonner des marges aux agriculteurs .  Faire de la déduction pour aléas un ""compte épargne aléas climatiques et économiques"" alimenté librement pendant les années de bonne récolte, utilisable en cas de pertes d’exploitation, et très simple d’emploi. Donner toute liberté aux agriculteurs de se regrouper en organisations de producteurs de taille significative, avec des démarches simples, pour mieux défendre leurs marges. Encadrer par la loi la négociation des contrats, pour que la négociation entre les producteurs et les industriels rééquilibre la négociation entre les industriels et les distributeurs. Soutenir les circuits directs de vente du producteur au consommateur en mettant en place un crédit d’impôt et des prêts d’honneur ""circuits directs agricoles"" sans intérêts, ni garantie. Les produits vendus en circuit direct pourront aussi être vendus contre la remise de ""chèques déjeuners "". Améliorer la compétitivité hors prix des agriculteurs français en faisant apposer sur l’emballage de tous les produits alimentaires la mention claire de leur provenance et de leur lieu de  transformation. Fonder la PAC 2020  sur la gestion des risques et sur le soutien à l’investissement, en ne s’interdisant aucun mode d’intervention et en maintenant à l’euro près le budget actuel. Réformer le droit de la concurrence et appliquer systématiquement la préférence communautaire pour que l’Europe défende les agriculteurs européens. Fonder les relations commerciales et négocier les accords d’échanges bilatéraux sur la base d’échanges équitables et sur l’équivalence des soutiens internes, tant des prix que des coûts (exemple : distorsions des charges salariales). "	2017	François Fillon	Les Républicains	3	14
Fillon 27	"Reconnaître les agriculteurs comme des entrepreneurs à part entière . Simplifier drastiquement le droit des entreprises agricoles pour laisser les agriculteurs choisir librement la forme juridique de leur entreprise. Abroger par ordonnance toutes les normes ajoutées à la réglementation européenne. Instaurer un sursis d’imposition lors de la transmission de la PME aux descendants. Réduire de 35 Mds€ les charges et impôts pesant sur toutes les entreprises et donc les entreprises agricoles. Rendre obligatoire l’évaluation, par une étude d’impact menée par le ministère de l’agriculture, des conséquences de toute décision publique impactant le monde agricole, rural et maritime, y compris l’alimentation, incluant les décisions de politique sanitaire et environnementale. Réglementer les produits d’appel en intégrant au ""prix coûtant"" les coûts liés au marketing et à la logistique. Faire évoluer les relations entre  l’administration  et les agriculteurs vers une culture du conseil plutôt qu’une culture du contrôle et de la sanction."	2017	François Fillon	Les Républicains	3	14
Fillon 28	"Oser l’innovation et la recherche .  Relancer des programmes de recherche et d’innovation pour l’agriculture de demain, notamment ceux concernant les nouvelles biotechnologies et l’agriculture 3.0. Orienter les programmes de recherche vers les domaines où peuvent être attendus des progrès décisifs et concrets pour l’agriculture. Rendre éligibles au crédit impôt recherche des projets de recherche ou d’expérimentation labellisés dans les exploitations, notamment sur les pratiques agricoles, pour faire de chaque agriculteur un ""paysanchercheur"". Redéfinir les relations entre l’agence de la biodiversité et l’office national de la chasse et de la faune sauvage et réorganiser la police de l’environnement autour d’un service unique.Lancer un plan de méthanisation en levant les freins qui ralentissent son développement, et notamment en relevant les seuils de régime de déclaration et d’enregistrement pour alléger les contraintes administratives. Mettre en oeuvre un programme national spécifique consacré à la montagne, en redonnant à l’Etat les crédits du Fonds européen agricole pour le développement rural (FEADER) pour l’indemnité compensatoire du handicap naturel."	2017	François Fillon	Les Républicains	3	14
Fillon 29	Un pacte de progrès . pour une politique de modernisation de la fonction publique Conduire rapidement une négociation associant tous les partenaires sociaux et portant sur la progression de carrière, la modernisation de la gestion des ressources humaines et la qualité de vie au travail au sein des différentes administrations. Réaffecter une partie des économies réalisées à l’amélioration des rémunérations. Augmenter progressivement le temps de travail dans la fonction publique à 39 heures hebdomadaires, sur une base annualisée permettant aux administrations d’organiser les cycles de travail les plus adaptés à leurs missions et métiers. Remplacer un départ d’agents publics sur deux en moyenne à l’échelle des fonctions publiques, ce qui permettra de réduire de 500 000 le nombre d’emplois publics en 5 ans tout en maintenant un niveau de recrutement significatif sur la période. Simplifier et élargir pour les administrations le recrutement des contractuels de droit public, afin d’en faire un outil complémentaire au statut. Mieux organiser la mobilité au sein et entre les fonctions publiques, en accélérant en particuliers le travail de simplification statutaire, ainsi qu’entre public et privé. Instituer 2 jours de carence dans la fonction publique. Récompenser le mérite et valoriser les compétences plus que l’ancienneté, que ce soit en termes de salaire, d’avancement, de promotion ou de changement d’affectation des agents publics. Mettre en oeuvre à compter de 2018 un grand plan de modernisation de la gestion des ressources humaines au sein des administrations, dans tous les domaines clés (recrutement, évaluation, formation, accompagnement des carrières, dialogue social). Associer directement les agents publics à la réflexion sur l’administration de demain et la modernisation au plus près des services, en s’appuyant sur la révolution numérique. Développer la qualité de vie au travail au sein de la fonction publique.	2017	François Fillon	Les Républicains	3	14
Fillon 30	Piloter et évaluer les dépenses publiques . Garantir le retour à l’équilibre des finances publiques d’ici 5 ans par un programme de réformes ambitieuses portant sur l’ensemble de la sphère publique. Mettre en place un dispositif de revue et de réformes, piloté au plus haut niveau de l’Etat, portant sur les missions et l’efficience de l’ensemble de la sphère publique (Etat, collectivités locales, organismes de protection sociale). Réserver aux lois de finances (LF et LFSS) la création et la modification des prélèvements obligatoires. Fixer des objectifs de qualité de service, de réduction des normes et d’économies sur 5 ans à chaque ministre, chaque secrétaire général et aux principaux directeurs d’administration centrale et fournir, dès les premiers mois du quinquennat, à l’ensemble des administrations des objectifs et une feuille de route sur 5 ans, dont les résultats seront régulièrement rendus publics en open data. 	2017	François Fillon	Les Républicains	3	14
Fillon 31	Baisser la dépense publique .  Réaliser 100 Mds€ d’économies de dépenses publiques sur 5 ans. Réduire le poids du secteur public et le ramener au niveau de celui de pays comparables en réduisant le nombre d’emplois publics et en recentrant la puissance publique sur les missions qu’elle est la seule à pouvoir assurer. Limiter les interventions de la puissance publique après évaluation sans concession de leur impact socioéconomique. Simplifier les structures chargées de la mise en oeuvre des politiques publiques. 	2017	François Fillon	Les Républicains	3	14
Fillon 32	Redonner du pouvoir d’achat . Mettre en place un abattement forfaitaire généralisé des cotisations sociales salariées, ce qui permettra une augmentation immédiate des salaires nets sur la fiche de paie de l’ordre de 350€ par an par salarié (700€ par an pour un ménage où les deux travaillent). Revaloriser les retraites inférieures à 1000€ en les augmentant de plus de 300€  par an, et les petites pensions de réversion de 10% (cela bénéficiera à plus de 300 000 veuves et veufs). Relever progressivement le plafond du quotient familial à 3 000 euros pour réduire l’impôt sur le revenu des familles, qui ont été particulièrement pénalisées par les socialistes. Permettre aux Français de transmettre leur patrimoine plus rapidement, en réduisant de 15 à 10 ans le délai entre deux donations ce qui permettra de renforcer le pouvoir d’achat des jeunes. Développer l‘intéressement dans les entreprises de moins de 50 salariés pour permettre aux salariés des petites entreprises de bénéficier des fruits de leur travail. Permettre aux Français de vendre plus facilement leurs biens immobiliers en ramenant de 30 à 22 ans le délai d’exonération des plus-values.	2017	François Fillon	Les Républicains	3	14
Fillon 33	Réformer notre fiscalité pour favoriser la création d’emplois .  Supprimer l’ISF dès 2018 pour garder en France des capitaux qui seront investis dans des entreprises françaises et qui créeront des emplois en France. Remplacer les mécanismes de déduction existants sur l’ISF (qui financent les entreprises innovantes ou les fondations) par des mécanismes de même nature s’appliquant à l’impôt sur le revenu. La déduction de l’investissement dans les PME sera de 30% dans la limite d’un million d’euros pour un couple. Mettre en place un taux unique d’imposition des revenus du patrimoine à 30% pour favoriser l’investissement dans les entreprises et donc la création d’emplois en maintenant le régime fiscal actuel de l’assurance-vie	2017	François Fillon	Les Républicains	3	14
Fillon 34	"Mettre en place une "" TVA compétitivité "" en augmentant de 2 points le taux normal. Les taux intermédiaire, réduit et super-réduit resteront inchangés : les produits de première nécessité et les services publics ne seront donc pas touchés. Cette TVA compétitivité permettra de financer la baisse des charges pesant sur les salaires pour redonner de la compétitivité à nos entreprises et donc créer des emplois. Cette augmentation de la TVA permet aussi de faire contribuer les importations et donc les producteurs étrangers au redressement du pays. Doubler le plafond de versement dans le ""PEA PME"" pour le porter à 150  000 euros afin de renforcer le financement des PME et des ETI, et donc favoriser la création d’emplois. "	2017	François Fillon	Les Républicains	3	14
Fillon 35	Soutenir les familles. Rétablir l’universalité des allocations familiales, pour rendre son efficacité à notre politique familiale. Relever progressivement le plafond du quotient familial à 3000 € pour réduire l’impôt sur le revenu des familles. 	2017	François Fillon	Les Républicains	3	14
Fillon 36	Mieux responsabiliser les parents .  Rétablir le contrat de responsabilité parentale supprimé en 2013 afin de permettre la suspension des allocations familiales en cas d’absentéisme scolaire des enfants ou de comportements non conformes aux valeurs fondamentales de la République. *	2017	François Fillon	Les Républicains	3	14
Fillon 37	"Protéger les droits de l’enfant. Préserver le cadre juridique défini par les lois de bioéthique de 1994, révisées en 2011 : la procréation médicalement assistée (PMA) restera interdite aux couples de femmes et aux femmes seules ; la gestation pour autrui (GPA, "" mères porteuses "") restera interdite à tous et les sanctions pénales sur le recours ou la promotion de la GPA seront renforcées. Le gouvernement luttera contre les détournements de procédure par le biais de conventions signées avec les pays autorisant l’une ou l’autre de ces pratiques. Une action au niveau international sera par ailleurs menée en faveur de l’abolition de la GPA. Réécrire la loi Taubira, sans effet rétroactif et en concertation avec toutes les associations concernées, en posant la règle que l’adoption plénière sera réservée aux couples de sexe différent, la filiation n’ayant de sens qu’à l’égard d’un homme et d’une femme. Dans le cadre de la concertation avec toutes les parties prenantes, il faudra s’interroger plus globalement sur les évolutions nécessaires de notre droit de l’adoption. "	2017	François Fillon	Les Républicains	3	14
Fillon 38	Donner plus de liberté aux familles et mieux concilier vie familiale et vie professionnelle. Garantir la liberté des familles dans le choix des modes d’accueil de la petite enfance. Les formules de garde souples seront privilégiées et les maisons d’assistantes maternelles seront développées ainsi que les micro-crèches. Simplifier la règlementation relative aux crèches et aux halte garderies, qui complique aujourd’hui la création de places et en augmente le coût. Inciter à la flexibilisation des horaires des structures de garde. Faciliter les évolutions professionnelles en fonction de l’expérience et les passerelles d’un métier à l’autre, entre assistant maternel et éducateur de jeunes enfants. Mettre en place des plans de formation afin de répondre à la demande du marché qui est en tension. Réintroduire la liberté dans le recours au congé parental. Maintenir l’enveloppe des aides fiscales et sociales destinées aux particuliers-employeurs pour les emplois familiaux.	2017	François Fillon	Les Républicains	3	14
Fillon 39	"La monoparentalité. Favoriser l’accès prioritaire aux crèches et aux logements sociaux pour les femmes isolées. Créer une grande plate-forme d’échanges intergénérationnels pour venir en aide aux "" mères isolées "" dans leur quotidien. Cette initiative basée sur le renforcement du lien intergénérationnel permettra à des seniors de décharger ces dernières de certaines activités (garde d’enfants, aide aux devoirs…). "	2017	François Fillon	Les Républicains	3	14
